ALV-5000/E-WIN Data
Date :	"11.09.17"
Time :	"14:01:27"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      80.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      11.79978
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  6.19393E-001
  4.00000E-004	  5.27660E-001
  6.00000E-004	  5.74138E-001
  8.00000E-004	  4.92190E-001
  1.00000E-003	  4.86075E-001
  1.20000E-003	  5.48453E-001
  1.40000E-003	  4.54274E-001
  1.60000E-003	  5.36222E-001
  1.80000E-003	  5.70469E-001
  2.00000E-003	  4.31035E-001
  2.20000E-003	  4.62836E-001
  2.40000E-003	  5.50899E-001
  2.60000E-003	  4.62836E-001
  2.80000E-003	  4.49382E-001
  3.00000E-003	  5.55792E-001
  3.20000E-003	  4.82405E-001
  3.60000E-003	  4.34093E-001
  4.00000E-003	  4.23696E-001
  4.40000E-003	  4.53051E-001
  4.80000E-003	  4.56109E-001
  5.20000E-003	  4.24308E-001
  5.60000E-003	  4.02903E-001
  6.00000E-003	  4.81182E-001
  6.40000E-003	  5.20938E-001
  7.20000E-003	  4.95558E-001
  8.00000E-003	  4.53361E-001
  8.80000E-003	  5.05955E-001
  9.60000E-003	  4.54584E-001
  1.04000E-002	  4.69873E-001
  1.12000E-002	  4.38683E-001
  1.20000E-002	  4.74154E-001
  1.28000E-002	  4.49671E-001
  1.44000E-002	  4.51199E-001
  1.60000E-002	  4.56398E-001
  1.76000E-002	  4.61749E-001
  1.92000E-002	  4.13589E-001
  2.08000E-002	  4.20622E-001
  2.24000E-002	  4.14201E-001
  2.40000E-002	  4.07015E-001
  2.56000E-002	  4.03193E-001
  2.88000E-002	  4.09156E-001
  3.20000E-002	  4.02505E-001
  3.52000E-002	  4.01741E-001
  3.84000E-002	  3.72234E-001
  4.16000E-002	  3.70552E-001
  4.48000E-002	  3.62755E-001
  4.80000E-002	  3.87751E-001
  5.12000E-002	  3.42658E-001
  5.76000E-002	  3.49729E-001
  6.40000E-002	  3.27140E-001
  7.04000E-002	  3.14641E-001
  7.68000E-002	  3.16399E-001
  8.32000E-002	  2.94231E-001
  8.96000E-002	  2.93466E-001
  9.60000E-002	  2.68928E-001
  1.02400E-001	  2.60770E-001
  1.15200E-001	  2.42194E-001
  1.28000E-001	  2.18840E-001
  1.40800E-001	  2.16203E-001
  1.53600E-001	  1.88090E-001
  1.66400E-001	  1.74100E-001
  1.79200E-001	  1.59633E-001
  1.92000E-001	  1.56002E-001
  2.04800E-001	  1.41864E-001
  2.30400E-001	  1.31679E-001
  2.56000E-001	  1.06472E-001
  2.81600E-001	  8.82534E-002
  3.07200E-001	  8.19278E-002
  3.32800E-001	  6.32886E-002
  3.58400E-001	  5.83868E-002
  3.84000E-001	  4.81054E-002
  4.09600E-001	  4.48608E-002
