Time	Correlation

  2.00000E-004	  3.81168E-001
  4.00000E-004	  3.72926E-001
  6.00000E-004	  3.88254E-001
  8.00000E-004	  3.87636E-001
  1.00000E-003	  3.65685E-001
  1.20000E-003	  3.68488E-001
  1.40000E-003	  3.91919E-001
  1.60000E-003	  3.77704E-001
  1.80000E-003	  3.59478E-001
  2.00000E-003	  3.79600E-001
  2.20000E-003	  3.86196E-001
  2.40000E-003	  3.62921E-001
  2.60000E-003	  3.60735E-001
  2.80000E-003	  3.88548E-001
  3.00000E-003	  3.69634E-001
  3.20000E-003	  3.63045E-001
  3.60000E-003	  3.74040E-001
  4.00000E-003	  3.63039E-001
  4.40000E-003	  3.71829E-001
  4.80000E-003	  3.63459E-001
  5.20000E-003	  3.65511E-001
  5.60000E-003	  3.66103E-001
  6.00000E-003	  3.58823E-001
  6.40000E-003	  3.61952E-001
  7.20000E-003	  3.58421E-001
  8.00000E-003	  3.55365E-001
  8.80000E-003	  3.53166E-001
  9.60000E-003	  3.54491E-001
  1.04000E-002	  3.48914E-001
  1.12000E-002	  3.46614E-001
  1.20000E-002	  3.46661E-001
  1.28000E-002	  3.44292E-001
  1.44000E-002	  3.38650E-001
  1.60000E-002	  3.35068E-001
  1.76000E-002	  3.30794E-001
  1.92000E-002	  3.26132E-001
  2.08000E-002	  3.22725E-001
  2.24000E-002	  3.19897E-001
  2.40000E-002	  3.14323E-001
  2.56000E-002	  3.10920E-001
  2.88000E-002	  3.03729E-001
  3.20000E-002	  2.96768E-001
  3.52000E-002	  2.89853E-001
  3.84000E-002	  2.81285E-001
  4.16000E-002	  2.76320E-001
  4.48000E-002	  2.68888E-001
  4.80000E-002	  2.61645E-001
  5.12000E-002	  2.55524E-001
  5.76000E-002	  2.43943E-001
  6.40000E-002	  2.32895E-001
  7.04000E-002	  2.20349E-001
  7.68000E-002	  2.10121E-001
  8.32000E-002	  2.00920E-001
  8.96000E-002	  1.90075E-001
  9.60000E-002	  1.80499E-001
  1.02400E-001	  1.71806E-001
  1.15200E-001	  1.56761E-001
  1.28000E-001	  1.42744E-001
  1.40800E-001	  1.28953E-001
  1.53600E-001	  1.17431E-001
  1.66400E-001	  1.05661E-001
  1.79200E-001	  9.53999E-002
  1.92000E-001	  8.71948E-002
  2.04800E-001	  7.91717E-002
  2.30400E-001	  6.45111E-002
  2.56000E-001	  5.28759E-002
  2.81600E-001	  4.36184E-002
  3.07200E-001	  3.63034E-002
  3.32800E-001	  3.06431E-002
  3.58400E-001	  2.48463E-002
  3.84000E-001	  2.00960E-002
  4.09600E-001	  1.67195E-002
  4.60800E-001	  1.16989E-002
  5.12000E-001	  8.10309E-003
  5.63200E-001	  6.03295E-003
  6.14400E-001	  4.13139E-003
  6.65600E-001	  3.70227E-003
  7.16800E-001	  2.67499E-003
  7.68000E-001	  1.51323E-003
  8.19200E-001	  1.42322E-003
  9.21600E-001	  1.83224E-003
  1.02400E+000	  1.60595E-003
